Symbol,Company Name,Security Type,Security Price,Market Capitalization
AAPL,Apple Inc,Common Stock,382.65,$1650.1B
MSFT,Microsoft Corp,Common Stock,214.32,$1620.2B
AMZN,Amazon.com Inc,Common Stock,3183.81,$1540.3B
GOOGL,Alphabet Inc,Common Stock,1518.38,$1030.4B
GOOG,Alphabet Inc,Common Stock,1509.41,$1020.5B
FB,Facebook Inc,Common Stock,244.575,$694.45B
BABA,Alibaba Group Holding Ltd,Depository Receipt,261.58,$666.63B
BRK-B,Berkshire Hathaway Inc,Common Stock,178.8,$440.32B
V,Visa Inc,Common Stock,192.21,$416.28B
JNJ,Johnson & Johnson,Common Stock,142.49,$377.14B
WMT,Walmart Inc,Common Stock,127.75,$352.41B
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Depository Receipt,64.78,$324.60B
PG,Procter & Gamble Co (The),Common Stock,122.48,$304.23B
RHHBY,Roche Holding AG,Depository Receipt,44.5,$302.05B
MA,Mastercard Inc,Common Stock,294.59,$301.35B
JPM,JPMorgan Chase & Co,Common Stock,91.28,$284.29B
UNH,Unitedhealth Group Inc,Common Stock,291.16,$282.55B
HD,Home Depot Inc. (The),Common Stock,247.96,$268.11B
TSLA,Tesla Inc,Common Stock,1394.28,$252.69B
NVDA,NVIDIA Corporation,Common Stock,420.39,$251.31B
INTC,Intel Corp,Common Stock,58.42,$248.15B
VZ,Verizon Communications Inc,Common Stock,53.94,$229.16B
NFLX,Netflix Inc,Common Stock,507.76,$221.11B
ADBE,Adobe Inc,Common Stock,461.15,$219.69B
T,AT&T Inc,Common Stock,29.54,$217.03B
PYPL,PayPal Holdings Inc,Common Stock,183.23,$212.98B
DIS,Walt Disney Co (The),Common Stock,116.81,$208.47B
NVS,Novartis AG,Depository Receipt,87.34,$201.68B
BAC,Bank of America Corp,Common Stock,22.77,$200.40B
MRK,Merck & Co Inc.,Common Stock,76.69,$196.67B
KO,Coca-Cola Co (The),Common Stock,43.91,$193.53B
CSCO,Cisco Systems Inc,Common Stock,46.7,$193.32B
PFE,Pfizer Inc,Common Stock,33.46,$187.38B
PEP,PepsiCo Inc,Common Stock,132.7,$186.43B
XOM,Exxon Mobil Corp,Common Stock,41.36,$182.41B
CMCSA,Comcast Corp,Common Stock,39.3,$181.38B
CRM,salesforce.com Inc,Common Stock,200.74,$180.05B
SAP,SAP SE,Depository Receipt,152.67,$175.41B
ORCL,Oracle Corp,Common Stock,57.53,$173.78B
TM,Toyota Motor Corp,Depository Receipt,123.83,$173.45B
ASML,ASML Holding NV,Depository Receipt,394.5,$164.54B
ABT,Abbott Laboratories,Common Stock,93.67,$163.76B
CVX,Chevron Corp,Common Stock,82.74,$161.21B
NVO,Novo Nordisk A/S,Depository Receipt,65.61,$154.95B
