Symbol,Company Name,Security Type,Security Price,Market Capitalization
FUN,Cedar Fair LP,Unit Trust Fund,27.7,$1.50B
HTH,Hilltop Holdings Inc,Common Stock,17.09,$1.50B
GTBIF,Green Thumb Industries Inc,Common Stock,11.03,$1.50B
EGOV,NIC Inc,Common Stock,22.3399,$1.49B
MOG/A,Moog Inc.,Common Stock,48.23,$1.49B
LMNX,Luminex Corp,Common Stock,32.38,$1.49B
ZUO,Zuora Inc,Common Stock,12.47,$1.49B
NS,NuStar Energy LP,Unit Trust Fund,13.42,$1.48B
VCYT,Veracyte Inc,Common Stock,28.96,$1.48B
CRNC,Cerence Inc,Common Stock,38.31,$1.48B
CSVI,Computer Services Inc,Common Stock,53,$1.47B
SPT,Sprout Social Inc,Common Stock,27.6,$1.47B
MTX,Minerals Technologies Inc.,Common Stock,44.86,$1.47B
GNL,Global Net Lease Inc,Common Stock (REIT),16.09,$1.47B
FULT,Fulton Financial Corp,Common Stock,9.75,$1.47B
KLIC,Kulicke and Soffa Industries Inc,Common Stock,22.695,$1.47B
WCC,WESCO International Inc,Common Stock,35.76,$1.47B
CCXX,Churchill Capital Corp III,Common Stock,10.8,$1.46B
SSB,South State Corp,Common Stock,46.11,$1.46B
RUSHA,Rush Enterprises Inc,Common Stock,41.82,$1.46B
HMN,Horace Mann Educators Corp,Common Stock,36.62,$1.46B
PEB,Pebblebrook Hotel Trust,Common Stock (REIT),11.4,$1.45B
RCM,R1 RCM INC,Common Stock,13.07,$1.45B
FLOW,SPX FLOW Inc,Common Stock,34.69,$1.45B
SAH,Sonic Automotive Inc.,Common Stock,35.35,$1.45B
BCC,Boise Cascade Co,Common Stock,38.74,$1.45B
MD,Mednax Inc,Common Stock,17.685,$1.45B
RVNC,Revance Therapeutics Inc,Common Stock,24.76,$1.45B
TWNK,Hostess Brands Inc,Common Stock,11.96,$1.44B
ICPT,Intercept Pharmaceuticals Inc,Common Stock,45.03,$1.44B
KFY,Korn Ferry,Common Stock,26.91,$1.44B
LTC,LTC Properties Inc.,Common Stock (REIT),37.27,$1.44B
SMCI,Super Micro Computer Inc,Common Stock,27.56,$1.44B
SILK,Silk Road Medical Inc,Common Stock,45.16,$1.43B
WABC,Westamerica Bancorporation,Common Stock,54.62,$1.43B
CUB,Cubic Corp,Common Stock,46.28,$1.43B
FRO,Frontline Ltd,Common Stock,7.52,$1.43B
