Symbol,Company Name,Security Type,Security Price,Market Capitalization
AMN,AMN Healthcare Services Inc.,Common Stock,43.69,$1.99B
CNMD,CONMED Corp,Common Stock,72.155,$1.99B
GT,Goodyear Tire & Rubber Co,Common Stock,9.205,$1.99B
CLF,Cleveland-Cliffs Inc,Common Stock,5.73,$1.99B
SCPL,SciPlay Corp,Common Stock,15.44,$1.99B
IGT,International Game Technology PLC,Common Stock,9.935,$1.99B
HL,Hecla Mining Co,Common Stock,3.97,$1.98B
DOOR,Masonite International Corp,Common Stock,82.26,$1.98B
AGO,Assured Guaranty Ltd,Common Stock,23.14,$1.98B
PACW,PacWest Bancorp,Common Stock,17.81,$1.98B
EPAY,Bottomline Technologies Inc,Common Stock,47.97,$1.97B
PLXS,Plexus Corp,Common Stock,68.19,$1.97B
WGO,Winnebago Industries Inc.,Common Stock,60.52,$1.96B
AMK,AssetMark Financial Holdings Inc,Common Stock,27.18,$1.96B
AA,Alcoa Corp,Common Stock,11.32,$1.96B
CENT,Central Garden & Pet Co,Common Stock,35.495,$1.95B
NSA,National Storage Affiliates Trust,Common Stock (REIT),28.66,$1.95B
SUN,Sunoco LP,Unit Trust Fund,23.855,$1.95B
FHB,First Hawaiian Inc,Common Stock,15.75,$1.95B
PRNB,Principia Biopharma Inc,Common Stock,64.42,$1.95B
EAF,Graftech International Ltd,Common Stock,7.355,$1.95B
DNK,Phoenix Tree Holdings Ltd,Depository Receipt,10.32,$1.94B
ISBC,Investors Bancorp Inc,Common Stock,8.05,$1.94B
LAUR,Laureate Education Inc,Common Stock,9.545,$1.94B
JW/A,John Wiley & Sons Inc.,Common Stock,35.23,$1.93B
SPB,Spectrum Brands Holdings Inc,Common Stock,45.42,$1.93B
AIMC,Altra Industrial Motion Corp,Common Stock,30.42,$1.93B
STAY,Extended Stay America Inc,Unit Trust Fund,11.04,$1.92B
CORT,Corcept Therapeutics Inc,Common Stock,16.62,$1.92B
APG,APi Group Corp,Common Stock,11.34,$1.92B
WOR,Worthington Industries Inc.,Common Stock,36.63,$1.91B
VSLR,Vivint Solar Inc,Common Stock,15.84,$1.91B
OUT,Outfront Media Inc,Common Stock (REIT),13.365,$1.90B
EVTC,EVERTEC Inc,Common Stock,26.69,$1.90B
TPH,TRI Pointe Group Inc,Common Stock,15.09,$1.90B
FISK,Empire State Realty OP LP,Unit Trust Fund (REIT),6.45,$1.90B
ALEC,Alector Inc,Common Stock,23.595,$1.90B
ADS,Alliance Data Systems Corp,Common Stock,41.7051,$1.90B
STL,Sterling Bancorp,Common Stock,10.405,$1.89B
APAM,Artisan Partners Asset Management Inc,Common Stock,32.46,$1.89B
PDM,Piedmont Office Realty Trust Inc,Common Stock (REIT),15.48,$1.89B
EDIT,Editas Medicine Inc,Common Stock,33.15,$1.89B
ENBL,Enable Midstream Partners LP,Unit Trust Fund,4.435,$1.89B
UPWK,Upwork Inc,Common Stock,15.915,$1.88B
EIDX,Eidos Therapeutics Inc,Common Stock,47.77,$1.88B
ESBA,Empire State Realty OP LP,Unit Trust Fund (REIT),6.62,$1.88B
OGCP,Empire State Realty OP LP,Unit Trust Fund (REIT),6.5401,$1.88B
MUR,Murphy Oil Corp,Common Stock,12.945,$1.88B
BEST,Best Inc,Depository Receipt,4.53,$1.88B
HP,Helmerich & Payne Inc.,Common Stock,18.683,$1.88B
DRNA,Dicerna Pharmaceuticals Inc,Common Stock,25.02,$1.87B
VC,Visteon Corp.,Common Stock,68.71,$1.87B
HI,Hillenbrand Inc,Common Stock,25.955,$1.87B
CAR,Avis Budget Group Inc,Common Stock,28.075,$1.87B
PSMT,PriceSmart Inc,Common Stock,63.36,$1.85B
NTCT,NetScout Systems Inc,Common Stock,25.24,$1.85B
FOUR,Shift4 Payments Inc,Common Stock,44.25,$1.85B
MAIN,Main Street Capital Corp,Common Stock,29.24,$1.85B
CMPR,Cimpress PLC,Common Stock,73.08,$1.85B
SEM,Select Medical Holdings Corp,Common Stock,14.01,$1.85B
COLB,Columbia Banking System Inc,Common Stock,26.81,$1.84B
CATY,Cathay General Bancorp,Common Stock,24.25,$1.84B
MNRO,Monro Inc,Common Stock,57.38,$1.83B
B,Barnes Group Inc,Common Stock,37.12,$1.83B
SHOO,Steven Madden Ltd,Common Stock,22.41,$1.83B
PRO,PROS Holdings Inc,Common Stock,42.88,$1.83B
AVAV,AeroVironment Inc,Common Stock,76.55,$1.83B
CIT,CIT Group Inc,Common Stock,19.98,$1.83B
CMD,Cantel Medical Corp,Common Stock,44.84,$1.82B
ASB,Associated Banc-Corp,Common Stock,12.33,$1.82B
OSTK,Overstock.com Inc,Common Stock,48.83,$1.82B
XNCR,Xencor Inc,Common Stock,32.05,$1.82B
CENTA,Central Garden & Pet Co,Common Stock,33.28,$1.82B
SHAK,Shake Shack Inc,Common Stock,48.09,$1.82B
ACA,Arcosa Inc,Common Stock,38.92,$1.82B
MXL,MaxLinear Inc,Common Stock,25.03,$1.81B
ANAT,American National Group Inc,Common Stock,69.22,$1.81B
SUM,Summit Materials Inc,Common Stock,16.51,$1.81B
EURN,Euronav,Common Stock,9.025,$1.81B
IBOC,International Bancshares Corp,Common Stock,29.45,$1.80B
MED,Medifast Inc.,Common Stock,152.2,$1.80B
LGND,Ligand Pharmaceuticals Inc,Common Stock,115.39,$1.80B
BMI,Badger Meter Inc.,Common Stock,62.06,$1.80B
GEF/B,Greif Inc.,Common Stock,38.84,$1.80B
SWCH,Switch Inc,Common Stock,18.79,$1.79B
FIT,Fitbit Inc,Common Stock,6.74,$1.79B
PBH,Prestige Consumer Healthcare Inc,Common Stock,36.47,$1.78B
UNIT,Uniti Group Inc,Common Stock (REIT),9.18,$1.78B
IOSP,Innospec Inc,Common Stock,75.06,$1.78B
CVI,CVR Energy Inc,Common Stock,18.5501,$1.78B
WAFD,Washington Federal Inc.,Common Stock,24.415,$1.78B
EGO,Eldorado Gold Corp,Common Stock,11.06,$1.77B
HCSG,Healthcare Services Group Inc,Common Stock,23.875,$1.77B
FIBK,First Interstate BancSystem Inc,Common Stock,28.52,$1.77B
WRE,Washington Real Estate Investment Trust,Common Stock (REIT),22.01,$1.76B
THC,Tenet Healthcare Corp,Common Stock,17.795,$1.76B
ATRC,AtriCure Inc,Common Stock,43.73,$1.75B
ONTO,Onto Innovation Inc,Common Stock,35.62,$1.75B
LILA,Liberty Latin America Ltd,Common Stock,9.92,$1.74B
IBA,Industrias Bachoco SAB De CV,Depository Receipt,35.11,$1.74B
CVLT,CommVault Systems Inc,Common Stock,37.96,$1.74B
IDCC,InterDigital Inc,Common Stock,56.03,$1.74B
ATCO,Atlas Corp,Common Stock,7.11,$1.74B
SJW,SJW Group,Common Stock,61.74,$1.74B
GTLS,Chart Industries Inc,Common Stock,48.9601,$1.74B
GHC,Graham Holdings Co,Common Stock,346.045,$1.74B
OMAB,Grupo Aeroportuario del Centro Norte SAB de CV,Depository Receipt,34.89,$1.73B
BECN,Beacon Roofing Supply Inc,Common Stock,25.32,$1.73B
MSGE,Madison Square Garden Entertainment Corp,Common Stock,71.19,$1.73B
MOG/B,Moog Inc.,Common Stock,53.0829,$1.73B
FMTX,Forma Therapeutics Holdings Inc,Common Stock,45.66,$1.72B
USNA,USANA Health Sciences Inc,Common Stock,82.28,$1.72B
PSEC,Prospect Capital Corp,Common Stock,4.765,$1.72B
PQG,PQ Group Holdings Inc,Common Stock,12.8,$1.72B
LGF/A,Lions Gate Entertainment Corp,Common Stock,7.79,$1.72B
MGLN,Magellan Health Inc,Common Stock,69.76,$1.72B
AUPH,Aurinia Pharmaceuticals Inc,Common Stock,14.9,$1.72B
SFBS,ServisFirst Bancshares Inc,Common Stock,32.94,$1.71B
DEA,Easterly Government Properties Inc,Common Stock (REIT),22.8,$1.71B
LILAK,Liberty Latin America Ltd,Common Stock,9.725,$1.71B
PMT,PennyMac Mortgage Investment Trust,Common Stock (REIT),17.56,$1.71B
AEO,American Eagle Outfitters Inc.,Common Stock,10.72,$1.70B
ABG,Asbury Automotive Group Inc,Common Stock,91.3,$1.70B
SAND,Sandstorm Gold Ltd,Common Stock,9.665,$1.70B
HTLD,Heartland Express Inc,Common Stock,21.04,$1.70B
SWTX,SpringWorks Therapeutics Inc,Common Stock,38.705,$1.70B
BDN,Brandywine Realty Trust,Common Stock (REIT),10.41,$1.70B
EVER,EverQuote Inc,Common Stock,62.25,$1.69B
RMBS,Rambus Inc,Common Stock,14.79,$1.69B
WWW,Wolverine World Wide Inc.,Common Stock,21.475,$1.69B
ADVM,Adverum Biotechnologies Inc,Common Stock,19.93,$1.69B
HUBG,Hub Group Inc,Common Stock,50.77,$1.69B
JACK,Jack in the Box Inc.,Common Stock,74.17,$1.69B
EGHT,8x8 Inc,Common Stock,16.08,$1.68B
SPXC,SPX Corp,Common Stock,38.97,$1.68B
NIU,Niu Technologies,Depository Receipt,22.23,$1.68B
HGV,Hilton Grand Vacations Inc,Common Stock,20.5,$1.68B
OR,Osisko Gold Royalties Ltd,Common Stock,10.58,$1.68B
MYOV,Myovant Sciences Ltd,Common Stock,17.94,$1.68B
TRQ,Turquoise Hill Resources Ltd,Common Stock,0.8269,$1.68B
RHP,Ryman Hospitality Properties Inc,Common Stock (REIT),31.4,$1.68B
EPC,Edgewell Personal Care Co,Common Stock,31.41,$1.67B
KAR,KAR Auction Services Inc,Common Stock,13.235,$1.67B
OLN,Olin Corp,Common Stock,11.13,$1.66B
MDGL,Madrigal Pharmaceuticals Inc,Common Stock,104.995,$1.66B
SPWR,SunPower Corp,Common Stock,9.255,$1.66B
TGCDF,Teranga Gold Corp,Common Stock,9.69,$1.66B
FSK,FS KKR Capital Corp,Common Stock,13.61,$1.66B
AMBA,Ambarella Inc,Common Stock,48.075,$1.65B
AIN,Albany International Corp.,Common Stock,51.73,$1.65B
SONO,Sonos Inc,Common Stock,15.0501,$1.65B
CIM,Chimera Investment Corp,Common Stock (REIT),8.93,$1.65B
GKOS,Glaukos Corp,Common Stock,37.9,$1.65B
JELD,JELD-WEN Holding Inc,Common Stock,16.57,$1.65B
ALGT,Allegiant Travel Co,Common Stock,110.98,$1.65B
FSS,Federal Signal Corp.,Common Stock,28.38,$1.65B
HKIB,AMTD International Inc,Depository Receipt,6.7,$1.65B
FOCS,Focus Financial Partners LLC,Common Stock,35.73,$1.64B
SFNC,Simmons First National Corp,Common Stock,15.74,$1.64B
CVCO,Cavco Industries Inc,Common Stock,186.17,$1.64B
URBN,Urban Outfitters Inc,Common Stock,16.565,$1.64B
IMAB,I-Mab,Depository Receipt,29.18,$1.64B
SHO,Sunstone Hotel Investors Inc,Common Stock (REIT),7.79,$1.64B
PRAA,PRA Group Inc,Common Stock,37.04,$1.63B
SANM,Sanmina Corp,Common Stock,24.48,$1.63B
RVMD,Revolution Medicines Inc,Common Stock,31.01,$1.63B
BE,Bloom Energy Corp,Common Stock,13.475,$1.63B
AKBA,Akebia Therapeutics Inc,Common Stock,12.205,$1.63B
SY,So-Young International Inc,Depository Receipt,14.14,$1.63B
PRGS,Progress Software Corp,Common Stock,36.17,$1.62B
SIX,Six Flags Entertainment Corp,Common Stock,20.19,$1.62B
ITCI,Intra-Cellular Therapies Inc,Common Stock,24.86,$1.62B
DAN,Dana Inc,Common Stock,11.905,$1.62B
TAC,TransAlta Corp,Common Stock,5.94,$1.62B
ACMR,ACM Research Inc,Common Stock,81.16,$1.61B
YMAB,Y-mAbs Therapeutics Inc,Common Stock,40.01,$1.61B
BIG,Big Lots Inc,Common Stock,40.42,$1.61B
ATGE,Adtalem Global Education Inc,Common Stock,31.47,$1.61B
NOVA,Sunnova Energy International Inc,Common Stock,18.8,$1.60B
YELP,Yelp Inc,Common Stock,23.06,$1.60B
RRC,Range Resources Corp.,Common Stock,6.69,$1.60B
PVG,Pretium Resources Inc,Common Stock,8.435,$1.60B
MFGP,Micro Focus International PLC,Depository Receipt,4.225,$1.60B
TRUP,Trupanion Inc,Common Stock,47.49,$1.60B
ZYME,Zymeworks Inc,Common Stock,33.92,$1.60B
WW,WW International Inc,Common Stock,24.34,$1.60B
IBTX,Independent Bank Group Inc,Common Stock,38.86,$1.59B
CNX,CNX Resources Corp,Common Stock,8.385,$1.59B
GLUU,Glu Mobile Inc,Common Stock,10.41,$1.59B
VRRM,Verra Mobility Corp,Common Stock,9.68,$1.59B
LGF/B,Lions Gate Entertainment Corp,Common Stock,7.2,$1.59B
AAT,American Assets Trust Inc,Common Stock (REIT),27.13,$1.59B
GEF,Greif Inc.,Common Stock,34.33,$1.59B
SIMO,Silicon Motion Technology Corp,Depository Receipt,43.61,$1.58B
CMP,Compass Minerals International Inc.,Common Stock,49.125,$1.58B
BMCH,BMC Stock Holdings Inc,Common Stock,24.33,$1.58B
MMYT,MakeMyTrip Ltd,Common Stock,15.09,$1.58B
FLR,Fluor Corp,Common Stock,11.6,$1.57B
SGMS,Scientific Games Corp,Common Stock,17.065,$1.57B
PAGP,Plains GP Holdings LP,Common Stock,8.56,$1.57B
IRWD,Ironwood Pharmaceuticals Inc,Common Stock,9.885,$1.57B
BGS,B&G Foods Inc,Common Stock,24.95,$1.57B
KTOS,Kratos Defense & Security Solutions Inc,Common Stock,15.035,$1.57B
ELY,Callaway Golf Co,Common Stock,16.99,$1.56B
FCPT,Four Corners Property Trust Inc,Common Stock (REIT),23.06,$1.56B
NWN,Northwest Natural Holding Co,Common Stock,52.9,$1.56B
NSIT,Insight Enterprises Inc,Common Stock,45.225,$1.56B
CTRE,CareTrust REIT Inc,Common Stock (REIT),16.585,$1.55B
CYTK,Cytokinetics Inc,Common Stock,25.59,$1.55B
PGRE,Paramount Group Inc,Common Stock (REIT),7.235,$1.55B
MC,Moelis & Co,Common Stock,29.565,$1.55B
GSH,Guangshen Railway Co Ltd,Depository Receipt,10.82,$1.54B
HWC,Hancock Whitney Corp,Common Stock,18.97,$1.54B
ZGNX,Zogenix Inc,Common Stock,27.3,$1.54B
AUB,Atlantic Union Bankshares Corp,Common Stock,20.92,$1.54B
BATRB,Liberty Media Corp Braves Group,Common Stock,30,$1.54B
EPZM,Epizyme Inc,Common Stock,15.12,$1.53B
IIPR,Innovative Industrial Properties Inc,Common Stock,90.88,$1.53B
ARNC,Arconic Corp,Common Stock,14.445,$1.53B
SRNE,Sorrento Therapeutics Inc,Common Stock,8.1207,$1.53B
BKU,BankUnited Inc,Common Stock,17.625,$1.52B
FBC,Flagstar Bancorp Inc,Common Stock,27.81,$1.52B
COMM,CommScope Holding Co Inc,Common Stock,7.815,$1.52B
CDNA,CareDx Inc,Common Stock,34.27,$1.51B
GBDC,Golub Capital BDC Inc,Common Stock,11.51,$1.51B
CCXX/U,Churchill Capital Corp III,Unit Trust Fund,11.42,$1.51B
OTTR,Otter Tail Corp,Common Stock,38.26,$1.51B
CNK,Cinemark Holdings Inc,Common Stock,13.055,$1.51B
ROCK,Gibraltar Industries Inc,Common Stock,47.86,$1.51B
MGNX,MacroGenics Inc,Common Stock,30.65,$1.51B
ADNT,Adient Plc,Common Stock,16.5399,$1.50B
GGAL,"Grupo Financiero Galicia Sa, Buenos Aires",Depository Receipt,11.39,$1.50B
BEAM,Beam Therapeutics Inc,Common Stock,27.045,$1.50B
