Symbol,Company Name,Security Type,Security Price,Market Capitalization
CEO,Cnooc Ltd,Depository Receipt,112.8159,$49.93B
DE,Deere & Co,Common Stock,158.93,$49.32B
ITUB,Itau Unibanco Holding SA,Depository Receipt,5.0799,$49.30B
BAM,Brookfield Asset Management Inc,Common Stock,32.72,$49.10B
GPN,Global Payments Inc.,Common Stock,163.8,$49.09B
GOLD,Barrick Gold Corp,Common Stock,27.005,$49.06B
PCGU,PG&E Corp,Unit Trust Fund,96.615,$48.93B
LRCX,Lam Research Corp,Common Stock,337.41,$48.74B
KMB,Kimberly-Clark Corp,Common Stock,143.415,$48.47B
TEAM,Atlassian Corp Plc,Common Stock,191.705,$48.29B
BSX,Boston Scientific Corp,Common Stock,34.685,$48.28B
AXAHY,"Axa, Paris",Depository Receipt,20.82,$48.28B
BNS,The Bank of Nova Scotia,Common Stock,40.695,$48.27B
EQNR,Equinor ASA,Depository Receipt,14.695,$47.87B
NOC,Northrop Grumman Corp,Common Stock,291.885,$47.78B
DG,Dollar General Corporation,Common Stock,188.03,$47.76B
SOLN,Southern Co (The),Unit Trust Fund,45.78,$47.28B
BIIB,Biogen Inc,Common Stock,278.86,$46.63B
WDAY,Workday Inc,Common Stock,194.95,$46.43B
BIDU,Baidu Inc,Depository Receipt,131.93,$45.83B
TAL,TAL Education Group,Depository Receipt,73.86,$45.80B
ADI,Analog Devices Inc.,Common Stock,124.28,$45.78B
PGR,Progressive Corp (The),Common Stock,80.74,$45.53B
TFC,Truist Financial Corp,Common Stock,35.035,$45.29B
AON,Aon plc,Common Stock,197.4,$44.94B
WBK,Westpac Banking Corp,Depository Receipt,12.465,$44.46B
RELX,RELX PLC,Depository Receipt,23.015,$44.45B
NSC,Norfolk Southern Corp,Common Stock,171.47,$43.78B
ABEV,Ambev SA,Depository Receipt,2.82,$43.74B
SCHW,Schwab (Charles) Corp,Common Stock,34.8,$43.61B
BAX,Baxter International Inc,Common Stock,85.85,$43.56B
INFY,Infosys Ltd,Depository Receipt,10.345,$43.38B
HMC,Honda Motor Co Ltd,Depository Receipt,25.24,$43.20B
WM,Waste Management Inc.,Common Stock,103.685,$43.08B
WMMVY,"Wal-Mart De Mexico SA De Cv, Mexico",Depository Receipt,24.3536,$42.69B
EW,Edwards Lifesciences Corp,Common Stock,68.03,$42.29B
PNC,The PNC Financial Services Group Inc,Common Stock,101.53,$41.91B
UBS,UBS Group AG,Common Stock,11.95,$41.83B
EBAY,eBay Inc.,Common Stock,59.37,$41.51B
VOD,Vodafone Group PLC,Depository Receipt,15.645,$41.47B
ROP,Roper Technologies Inc,Common Stock,391.35,$41.23B
COP,Conocophillips,Common Stock,39.455,$41.13B
LULU,lululemon athletica inc,Common Stock,312.03,$41.04B
KDP,Keurig Dr Pepper Inc,Common Stock,29.025,$40.81B
FDX,FedEx Corp.,Common Stock,158.3,$40.69B
DXCM,DexCom Inc,Common Stock,439.795,$40.66B
AEP,American Electric Power Co Inc,Common Stock,84.21,$40.62B
AMX,"America Movil SA De CV, Mexico",Depository Receipt,12.375,$40.59B
PUK,Prudential PLC,Depository Receipt,31.725,$40.43B
SAN,Banco Santander SA,Depository Receipt,2.495,$40.15B
EA,Electronic Arts Inc,Common Stock,140.27,$40.03B
AMOV,"America Movil SA De CV, Mexico",Depository Receipt,12.17,$39.97B
DELL,Dell Technologies Inc,Common Stock,53.45,$39.73B
GD,General Dynamics Corp,Common Stock,141.48,$39.59B
BBD,Banco Bradesco Sa Brad,Depository Receipt,4.105,$39.56B
DOCU,DocuSign Inc.,Common Stock,209.45,$38.96B
DLR,Digital Realty Trust Inc,Common Stock (REIT),147.455,$38.76B
TRP,TC Energy Corp,Common Stock,41.53,$38.69B
VEEV,Veeva Systems Inc,Common Stock,252.455,$38.51B
KHC,The Kraft Heinz Co,Common Stock,32.165,$38.33B
GIS,General Mills Inc.,Common Stock,63.38,$38.14B
SMFG,Sumitomo Mitsui Financial Group Inc,Depository Receipt,5.66,$37.94B
EPD,Enterprise Products Partners LP,Unit Trust Fund,17.35,$37.71B
NGG,National Grid plc,Depository Receipt,55.405,$37.63B
MNST,Monster Beverage Corp,Common Stock,71.54,$37.43B
DD,DuPont  De Nemours Inc,Common Stock,52.24,$37.36B
SNAP,SNAP INC,Common Stock,25.3074,$37.34B
CNC,Centene Corp,Common Stock,62.93,$36.66B
BBDO,Banco Bradesco Sa Brad,Depository Receipt,3.7949,$36.64B
BCE,BCE Inc.,Common Stock,40.49,$36.49B
BX,Blackstone Group Inc,Common Stock,53.51,$36.11B
EXC,Exelon Corp,Common Stock,37.445,$35.68B
EMR,Emerson Electric Co.,Common Stock,59.5746,$35.53B
STZ/B,Constellation Brands Inc,Common Stock,183.58,$35.11B
STZ,Constellation Brands Inc,Common Stock,183.74,$34.89B
CP,Canadian Pacific Railway Ltd,Common Stock,258.0995,$34.69B
LHX,L3Harris Technologies Inc,Common Stock,161.6132,$34.48B
WBA,Walgreens Boots Alliance Inc,Common Stock,40.01,$34.34B
SBAC,SBA Communications Corp,Common Stock,304.86,$34.34B
TWLO,Twilio Inc,Common Stock,241.2999,$34.33B
ETN,Eaton Corp Plc,Common Stock,86.05,$34.26B
LVS,Las Vegas Sands Corp,Common Stock,45.53,$34.14B
PSA,Public Storage,Common Stock (REIT),194.665,$34.09B
SRE,Sempra Energy,Common Stock,119.03,$33.96B
E,Eni SpA,Depository Receipt,19.19,$33.83B
TRI,Thomson Reuters Corp,Common Stock,67.48,$33.65B
BMO,Bank of Montreal,Common Stock,53.38,$33.34B
XEL,Xcel Energy Inc.,Common Stock,63.89,$33.20B
NXPI,NXP Semiconductors NV,Common Stock,116.8,$32.89B
BK,Bank of New York Mellon Corp (The),Common Stock,38.35,$32.89B
RACE,Ferrari NV,Common Stock,178.94,$32.80B
GM,General Motors Co,Common Stock,24.17,$32.79B
SPLK,Splunk Inc,Common Stock,209.92,$32.54B
MET,Metlife Inc.,Common Stock,36.9,$32.12B
HCA,HCA Healthcare Inc,Common Stock,96.62,$31.85B
KLAC,KLA Corp,Common Stock,201.27,$31.57B
KMI,Kinder Morgan Inc.,Common Stock,14.11,$31.46B
MSCI,MSCI Inc,Common Stock,370.75,$31.40B
IBN,Icici Bank Ltd,Depository Receipt,9.715,$31.39B
SGEN,Seattle Genetics Inc,Common Stock,174.68,$31.28B
MFG,Mizuho Financial Group Inc,Depository Receipt,2.465,$31.23B
SCCO,Southern Copper Corp,Common Stock,41.37,$31.18B
ERIC,Telefonaktiebolaget LM Ericsson,Depository Receipt,9.395,$31.13B
ORLY,O'Reilly Automotive Inc,Common Stock,417.82,$31.12B
CMG,Chipotle Mexican Grill Inc,Common Stock,1112.75,$31.03B
IFNNY,Infineon Technologies AG,Depository Receipt,25.45,$30.87B
SNPS,Synopsys Inc,Common Stock,197.38,$30.87B
BF/B,Brown-Forman Corp,Common Stock,64.5,$30.25B
ROST,Ross Stores Inc,Common Stock,86.89,$30.15B
INFO,IHS Markit Ltd,Common Stock,75.46,$30.05B
