"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AFL","AFLAC Inc","1.05%","36.15","+1.87","+5.44%","1.29 M","23.07 - 57.18",
"AIG","American Intl Group Inc","0.85%","25.28","+1.97","+8.45%","3.86 M","16.07 - 58.66",
"AIZ","Assurant Inc","0.25%","100.44","+2.52","+2.57%","233.82 K","76.27 - 142.61",
"ALL","Allstate Corp","1.37%","102.56","+1.08","+1.06%","1.10 M","64.13 - 125.92",
"AMP","Ameriprise Financial Inc","0.57%","123.65","+16.37","+15.26%","1.21 M","80.01 - 180.85",
"AON","Aon plc","1.73%","186.02","+8.78","+4.95%","416.55 K","143.93 - 238.19",
"AXP","American Express Co","2.35%","87.02","+3.02","+3.60%","3.01 M","67.00 - 138.13",
"BAC","Bank of America Corp","7.56%","23.08","+0.73","+3.24%","33.31 M","17.95 - 35.72",
"BEN","Franklin Resources Inc","0.21%","18.26","+0.52","+2.90%","1.11 M","14.91 - 35.77",
"BK","The Bank of New York Mellon Corp","1.21%","35.42","+0.92","+2.67%","2.11 M","26.40 - 51.60",
"BLK","BlackRock Inc","2.38%","500.29","+16.89","+3.49%","249.66 K","323.98 - 576.81",
"BRK.b","Berkshire Hathaway B","14.08%","174.77","+2.39","+1.39%","3.37 M","159.50 - 231.61",
"CB","Chubb Limited","1.80%","99.00","+3.75","+3.94%","2.60 M","87.35 - 167.74",
"CINF","Cincinnati Financial Corp","0.34%","55.65","+2.53","+4.76%","626.86 K","53.06 - 118.19",
"CMA","Comerica Inc (MI)","0.19%","32.89","+1.56","+4.98%","1.03 M","24.28 - 77.23",
"CME","CME Group Inc A","2.60%","180.94","+7.24","+4.17%","817.51 K","131.80 - 225.36",
"C","Citigroup Inc","3.92%","44.76","+1.81","+4.22%","16.74 M","32.00 - 83.11",
"COF","Capital One Financial","1.14%","61.37","+2.88","+4.92%","2.44 M","38.00 - 107.59",
"DFS","Discover Financial Services","0.51%","40.83","+1.69","+4.31%","2.14 M","23.25 - 92.98",
"ETFC","E*TRADE Financial Corp","0.36%","40.28","+1.91","+4.98%","1.26 M","25.76 - 57.30",
"FITB","Fifth Third Bancorp (OH)","0.50%","17.45","+0.67","+4.00%","3.01 M","11.10 - 31.64",
"GS","Goldman Sachs Group Inc","2.35%","182.33","+5.41","+3.06%","1.37 M","130.85 - 250.46",
"HBAN","Huntington Bancshares (OH)","0.35%","8.31","+0.08","+0.91%","6.03 M","6.82 - 15.63",
"HIG","Hartford Finl Services Group","0.50%","35.20","+1.67","+4.98%","1.08 M","19.04 - 62.75",
"ICE","Intercontinental Exchange Inc","2.13%","94.22","+2.48","+2.70%","868.19 K","63.51 - 101.93",
"IVZ","Invesco Ltd","0.12%","7.78","+0.16","+2.10%","4.44 M","7.20 - 21.61",
"JPM","JP Morgan Chase & Co","11.82%","91.76","+1.49","+1.65%","9.83 M","76.91 - 141.10",
"KEY","KeyCorp","0.43%","10.81","+0.45","+4.34%","6.31 M","7.45 - 20.53",
"L","Loews Corp","0.32%","31.16","+1.48","+4.99%","655.43 K","28.52 - 56.88",
"LNC","Lincoln National Corp","0.25%","34.75","+4.84","+16.17%","2.13 M","16.11 - 67.17",
"MCO","Moody's Corp","1.64%","248.27","+6.78","+2.81%","357.51 K","164.19 - 287.25",
