"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AIV","Apartment Investment & Mgmt","0.80%","37.46","+1.43","+3.97%","273.97 K","24.53 - 55.68",
"AMT","American Tower Corp A","15.62%","239.15","+1.89","+0.80%","1.15 M","174.32 - 260.43",
"AVB","AvalonBay Communities Inc","3.26%","162.07","+5.27","+3.36%","532.44 K","118.17 - 229.40",
"BXP","Boston Properties Inc","1.78%","85.79","+2.51","+3.01%","959.12 K","77.21 - 147.83",
"CCI","Crown Castle Intl Corp","9.58%","156.18","+1.19","+0.77%","670.20 K","114.18 - 168.75",
"EQIX","Equinix Inc","8.67%","668.90","-15.29","-2.23%","284.84 K","471.65 - 715.75",
"EQR","Equity Residential","3.17%","63.81","+2.79","+4.57%","689.68 K","49.62 - 89.55",
"ESS","Essex Property Trust","2.37%","251.34","+9.95","+4.12%","142.16 K","175.81 - 334.17",
"HST","Host Hotels & Resorts Inc","1.12%","11.14","+0.61","+5.75%","3.86 M","7.86 - 19.81",
"IRM","Iron Mountain Inc","0.94%","25.11","+3.19","+14.55%","4.58 M","21.00 - 34.49",
"KIM","Kimco Realty Corp","0.62%","10.07","+0.25","+2.55%","2.90 M","7.45 - 21.86",
"O","Realty Income Corp","2.67%","54.00","+1.52","+2.90%","1.22 M","38.00 - 84.92",
"PLD","ProLogis Inc","9.54%","88.48","+1.54","+1.77%","621.93 K","59.82 - 99.79",
"PSA","Public Storage","3.93%","183.03","+6.94","+3.94%","530.52 K","155.37 - 266.76",
"SLG","SL Green Realty Corp","0.55%","47.53","+2.53","+5.62%","692.01 K","37.50 - 96.39",
"SPG","Simon Property Group A","2.54%","57.45","+1.71","+3.07%","4.20 M","42.25 - 178.71",
"VNO","Vornado Realty Trust","0.85%","37.98","+2.01","+5.59%","1.20 M","27.64 - 68.85",
"VTR","Ventas Inc","1.58%","28.30","-0.13","-0.45%","1.32 M","13.35 - 75.40",
"WY","Weyerhaeuser Co","2.02%","18.63","+0.40","+2.17%","3.66 M","13.10 - 31.58",
"EXR","Extra Space Storage Inc","1.62%","87.13","+3.13","+3.73%","420.89 K","72.70 - 124.46",
"FRT","Federal Realty Invt Trust","0.77%","75.53","+2.22","+3.02%","574.51 K","64.68 - 141.35",
"UDR","UDR Inc","1.57%","38.18","+2.13","+5.91%","1.15 M","29.20 - 51.25",
"DLR","Digital Realty Trust","5.85%","148.91","-0.79","-0.53%","603.91 K","105.00 - 158.36",
"MAA","Mid-America Apt Communties","1.87%","115.28","+5.27","+4.79%","386.63 K","82.00 - 148.88",
"ARE","Alexandria Real Estate Eqty","2.76%","152.27","+1.10","+0.73%","156.31 K","109.22 - 175.74",
"DRE","Duke Realty Corp","1.80%","33.40","+0.47","+1.41%","666.37 K","25.19 - 38.88",
"SBAC","SBA Communications Corp","4.83%","289.40","+1.05","+0.36%","328.81 K","199.22 - 317.11",
"WELL","Welltower Inc","2.73%","44.35","-0.97","-2.14%","3.81 M","24.27 - 93.17",
"CBRE","CBRE Group Inc.","1.90%","41.15","+3.00","+7.86%","715.86 K","29.17 - 64.75",
"REG","Regency Centers Corp","0.95%","39.39","+1.26","+3.30%","631.56 K","31.80 - 70.26",
"PEAK","Healthpeak Properties Inc.","1.77%","24.01","+0.34","+1.46%","2.29 M","18.63 - 37.93",
