"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AEE","Ameren Corp","2.28%","70.70","+0.86","+1.23%","721.40 K","58.74 - 87.66",
"AEP","American Electric Power","5.16%","79.27","+1.15","+1.47%","1.77 M","65.14 - 104.97",
"AES","AES Corp","1.10%","12.49","-0.04","-0.32%","4.12 M","8.11 - 21.23",
"CMS","CMS Energy Corp","2.06%","55.08","+0.42","+0.77%","744.02 K","46.03 - 69.17",
"CNP","Centerpoint Energy Inc","1.06%","18.03","+2.05","+12.83%","14.26 M","11.58 - 31.12",
"D","Dominion Energy Inc","8.48%","78.42","+0.69","+0.89%","1.80 M","57.79 - 90.89",
"DTE","DTE Energy Co","2.56%","100.38","-0.13","-0.13%","502.18 K","71.21 - 135.67",
"DUK","Duke Energy Corp","7.74%","81.36","+1.29","+1.61%","1.62 M","62.13 - 103.79",
"ED","Consolidated Edison Inc","3.28%","75.34","+0.96","+1.29%","905.49 K","62.03 - 95.10",
"EIX","Edison Intl","2.57%","54.12","+0.08","+0.15%","1.40 M","43.63 - 78.93",
"ETR","Entergy Corp","2.44%","94.02","+1.35","+1.46%","510.30 K","75.20 - 135.55",
"FE","FirstEnergy Corp","2.86%","40.32","+0.32","+0.79%","1.30 M","32.00 - 52.52",
"NEE","NextEra Energy Inc","14.42%","228.18","+5.52","+2.48%","850.14 K","174.80 - 283.35",
"NI","Nisource Inc","1.13%","23.08","+0.16","+0.70%","2.22 M","19.56 - 30.67",
"NRG","NRG Energy","1.09%","32.15","-0.63","-1.92%","1.69 M","19.54 - 41.78",
"PEG","Public Service Enterprise Grp","3.22%","48.40","+0.35","+0.73%","900.89 K","34.75 - 63.88",
"PNW","Pinnacle West Capital (AZ)","1.07%","72.65","+0.64","+0.89%","380.07 K","60.05 - 105.51",
"PPL","PPL Corp","2.47%","24.64","+0.36","+1.48%","2.90 M","18.12 - 36.83",
"SO","Southern Co","7.45%","54.62","+0.98","+1.83%","1.48 M","41.96 - 71.10",
"SRE","Sempra Energy","4.56%","125.07","+3.05","+2.50%","750.07 K","88.00 - 161.87",
"WEC","WEC Energy Group Inc","3.55%","86.15","+1.21","+1.42%","756.32 K","68.01 - 109.53",
"ES","Eversource Energy","3.27%","78.18","+1.92","+2.51%","881.16 K","60.69 - 99.42",
"AWK","American Water Works Co Inc","2.82%","120.58","+2.80","+2.38%","535.10 K","92.00 - 141.70",
"XEL","Xcel Energy Inc","4.25%","60.76","-0.47","-0.76%","1.50 M","46.58 - 72.14",
"EVRG","Evergy Inc.","1.66%","56.57","+1.64","+2.99%","967.70 K","42.01 - 76.57",
"LNT","Alliant Energy Corp","1.47%","46.68","+0.51","+1.10%","541.04 K","37.66 - 60.28",
"ATO","Atmos Energy Corp","1.53%","99.19","+2.64","+2.73%","484.32 K","77.92 - 121.08",
"EXC","Exelon Corp","4.44%","35.29","+0.82","+2.36%","2.56 M","29.28 - 51.18",
