"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"COG","Cabot Oil & Gas A","1.21%","19.10","-0.21","-1.09%","2.56 M","13.06 - 24.44",
"COP","ConocoPhillips","4.87%","44.41","-0.70","-1.55%","3.65 M","20.84 - 67.13",
"CVX","Chevron Corp","22.05%","92.10","-1.93","-2.05%","3.50 M","51.60 - 127.00",
"DVN","Devon Energy Corp","0.79%","12.81","-0.50","-3.72%","4.56 M","4.70 - 29.36",
"EOG","EOG Resources","4.89%","53.23","-1.37","-2.51%","2.33 M","27.00 - 95.29",
"FTI","TechnipFMC plc","0.55%","8.07","-0.43","-5.01%","3.24 M","4.49 - 28.57",
"HAL","Halliburton Co","1.83%","13.04","-0.49","-3.61%","11.32 M","4.25 - 25.47",
"HES","Hess Corp","2.08%","50.95","-1.26","-2.41%","972.64 K","26.06 - 74.11",
"KMI","Kinder Morgan Inc","3.66%","15.82","-0.15","-0.94%","5.90 M","9.42 - 22.58",
"MPC","Marathon Petroleum Corp.","3.86%","37.72","-0.92","-2.38%","3.51 M","15.26 - 69.65",
"MRO","Marathon Oil Corp","0.83%","6.46","-0.28","-4.19%","19.39 M","3.02 - 14.70",
"NOV","National Oilwell Varco Inc","0.77%","12.44","-0.54","-4.16%","2.60 M","8.00 - 25.81",
"OKE","ONEOK Inc","2.44%","36.85","-1.55","-4.04%","3.46 M","12.16 - 78.48",
"OXY","Occidental Petroleum","2.79%","19.52","-0.78","-3.82%","23.52 M","9.00 - 54.05",
"PSX","Phillips 66","4.81%","74.10","-2.94","-3.82%","2.20 M","40.04 - 119.92",
"PXD","Pioneer Natural Resources","2.47%","94.96","-2.10","-2.16%","1.27 M","48.62 - 159.01",
"SLB","Schlumberger Ltd","4.17%","19.76","+0.21","+1.07%","10.06 M","11.87 - 41.40",
"VLO","Valero Energy Corp","4.18%","63.59","-2.57","-3.88%","3.27 M","31.00 - 101.99",
"WMB","The Williams Companies Inc","3.61%","19.23","-0.14","-0.70%","4.36 M","8.41 - 29.06",
"XOM","Exxon Mobil Corp","21.04%","47.04","-1.17","-2.42%","13.51 M","30.11 - 77.93",
"CXO","Concho Resources Inc","1.80%","57.47","-0.61","-1.05%","1.69 M","33.13 - 107.69",
"HFC","HollyFrontier Corporation","0.75%","31.67","-1.03","-3.15%","1.00 M","18.48 - 58.88",
"FANG","Diamondback Energy Inc","1.24%","47.11","-2.87","-5.73%","1.32 M","14.55 - 111.84",
"BKR","Baker Hughes Company","1.68%","16.23","-0.62","-3.65%","3.62 M","9.12 - 25.99",
"NBL","Noble Energy Inc","0.79%","10.29","-0.43","-3.97%","4.32 M","2.73 - 27.31",
"APA","Apache Corp","0.84%","14.06","-0.52","-3.53%","7.43 M","3.80 - 33.77",
