"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AFL","AFLAC Inc","0.99%","37.16","-0.19","-0.51%","1.67 M","23.07 - 57.18",
"AIG","American Intl Group Inc","1.05%","32.44","-0.85","-2.55%","3.76 M","16.07 - 58.66",
"AIZ","Assurant Inc","0.24%","107.24","-1.28","-1.18%","160.80 K","76.27 - 142.61",
"ALL","Allstate Corp","1.16%","98.64","-0.48","-0.48%","856.82 K","64.13 - 125.92",
"AMP","Ameriprise Financial Inc","0.70%","150.33","-3.19","-2.07%","707.59 K","80.01 - 180.85",
"AON","Aon plc","1.58%","192.19","+6.07","+3.26%","983.61 K","143.93 - 238.19",
"AXP","American Express Co","2.56%","104.81","-0.81","-0.77%","2.95 M","67.00 - 138.13",
"BAC","Bank of America Corp","7.56%","25.20","-0.60","-2.33%","37.78 M","17.95 - 35.72",
"BEN","Franklin Resources Inc","0.23%","22.79","+0.30","+1.33%","1.29 M","14.91 - 35.77",
"BK","The Bank of New York Mellon Corp","1.18%","39.06","+0.34","+0.87%","2.72 M","26.40 - 51.60",
"BLK","BlackRock Inc","3.04%","556.77","+6.37","+1.16%","374.33 K","323.98 - 576.81",
"BRK.b","Berkshire Hathaway B","12.91%","181.45","-0.85","-0.47%","3.61 M","159.50 - 231.61",
"CB","Chubb Limited","2.14%","130.65","+0.19","+0.15%","807.93 K","87.35 - 167.74",
"CINF","Cincinnati Financial Corp","0.35%","62.47","-0.75","-1.19%","534.75 K","46.07 - 118.19",
"CMA","Comerica Inc (MI)","0.22%","40.31","-1.16","-2.80%","888.01 K","24.28 - 74.11",
"CME","CME Group Inc A","2.28%","178.56","+2.45","+1.39%","980.67 K","131.80 - 225.36",
"C","Citigroup Inc","4.30%","53.44","-1.01","-1.85%","15.95 M","32.00 - 83.11",
"COF","Capital One Financial","1.24%","72.09","-1.51","-2.05%","1.81 M","38.00 - 107.59",
"DFS","Discover Financial Services","0.63%","55.82","-0.10","-0.18%","2.80 M","23.25 - 92.98",
"ETFC","E*TRADE Financial Corp","0.41%","49.49","-0.53","-1.06%","2.32 M","25.76 - 57.30",
"FITB","Fifth Third Bancorp (OH)","0.57%","21.73","-0.32","-1.43%","3.65 M","11.10 - 31.64",
"GS","Goldman Sachs Group Inc","2.42%","207.28","-2.31","-1.10%","1.15 M","130.85 - 250.46",
"HBAN","Huntington Bancshares (OH)","0.38%","10.17","-0.12","-1.12%","4.63 M","6.82 - 15.63",
"HIG","Hartford Finl Services Group","0.54%","41.44","-0.05","-0.12%","1.37 M","19.04 - 62.75",
"ICE","Intercontinental Exchange Inc","1.91%","94.92","+0.26","+0.27%","1.87 M","63.51 - 101.93",
"IVZ","Invesco Ltd","0.15%","11.21","+0.07","+0.65%","5.15 M","6.38 - 21.10",
"JPM","JP Morgan Chase & Co","11.59%","100.43","-1.63","-1.60%","9.61 M","76.91 - 141.10",
"KEY","KeyCorp","0.49%","13.58","-0.14","-1.02%","6.32 M","7.45 - 20.53",
"L","Loews Corp","0.31%","33.66","-0.26","-0.77%","705.15 K","27.33 - 56.88",
"LNC","Lincoln National Corp","0.30%","41.26","-1.20","-2.83%","966.68 K","16.11 - 67.17",
"MCO","Moody's Corp","1.61%","276.46","+1.91","+0.69%","162.78 K","164.19 - 287.25",
"MET","Metlife Inc","1.09%","38.09","-0.60","-1.55%","3.27 M","22.85 - 53.28",
"MMC","Marsh & McLennan Companies","1.96%","108.77","+1.40","+1.30%","1.09 M","74.34 - 119.88",
"MS","Morgan Stanley","2.05%","48.06","-0.50","-1.03%","5.74 M","27.20 - 57.57",
"MTB","M&T Bank Corp","0.54%","111.21","-2.05","-1.81%","401.61 K","85.09 - 174.93",
"NDAQ","Nasdaq Inc","0.49%","118.94","+0.41","+0.35%","272.67 K","71.66 - 121.61",
"NTRS","Northern Trust Corp (IL)","0.65%","84.70","-0.23","-0.27%","573.37 K","60.67 - 110.48",
"PBCT","People's United Financial Inc","0.20%","12.15","-0.43","-3.42%","2.45 M","9.37 - 17.22",
"PGR","Progressive Corp","1.70%","79.68","-0.75","-0.93%","1.54 M","62.18 - 84.96",
"PNC","PNC Finl Services Group","1.82%","112.50","-2.44","-2.12%","1.05 M","79.41 - 161.79",
"PRU","Prudential Financial Inc","0.96%","64.37","-1.43","-2.17%","1.41 M","38.62 - 103.56",
"RF","Regions Financial Corp","0.44%","12.44","-0.15","-1.15%","5.90 M","6.94 - 17.54",
"SCHW","Charles Schwab Corp","1.53%","37.02","+0.10","+0.27%","6.63 M","28.00 - 51.65",
"STT","State Street Corp","0.85%","63.58","-0.69","-1.07%","922.78 K","42.10 - 85.89",
"TROW","T Rowe Price Group Inc","1.06%","126.13","+1.26","+1.01%","475.28 K","82.51 - 139.82",
"TRV","Travelers Cos Inc","1.09%","115.58","-0.57","-0.49%","835.78 K","76.99 - 155.09",
"UNM","Unum Group","0.13%","17.28","-0.28","-1.59%","1.71 M","9.58 - 35.09",
"USB","US Bancorp","2.02%","38.81","-0.53","-1.35%","3.80 M","28.36 - 61.11",
"WFC","Wells Fargo & Co","3.97%","27.63","-0.90","-3.14%","23.66 M","22.00 - 54.75",
"ZION","Zions Bancorporation N.A.","0.23%","36.22","-0.75","-2.03%","1.22 M","23.58 - 52.48",
"SYF","Synchrony Financial","0.51%","25.02","-0.14","-0.56%","5.18 M","12.15 - 38.18",
"WLTW","Willis Towers Watson PLC","0.89%","197.59","+5.96","+3.11%","398.31 K","143.34 - 220.97",
"CFG","Citizens Financial Group Inc","0.43%","26.64","-0.60","-2.20%","2.68 M","14.12 - 41.29",
"SPGI","S&P Global Inc","2.87%","328.45","+3.52","+1.08%","401.93 K","186.06 - 334.66",
"AJG","Arthur J. Gallagher & Co","0.65%","98.59","+2.94","+3.07%","783.04 K","65.09 - 109.46",
"RJF","Raymond James Financial Inc","0.33%","72.87","-0.62","-0.84%","288.00 K","54.21 - 102.45",
"RE","Everest Re Group Ltd","0.33%","219.38","-1.20","-0.54%","153.08 K","157.32 - 294.31",
