"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"APD","Air Products & Chemicals Inc","8.47%","227.27","+3.89","+1.74%","331.48 K","167.43 - 257.01",
"AVY","Avery Dennison Corp","1.53%","105.52","-0.24","-0.22%","228.33 K","76.96 - 141.09",
"BLL","Ball Corp","3.73%","67.19","+1.47","+2.24%","2.37 M","51.26 - 82.82",
"CF","CF Industries Holdings","0.99%","28.03","+1.76","+6.70%","2.06 M","19.73 - 55.15",
"ECL","Ecolab Inc","8.33%","194.98","+1.95","+1.01%","490.21 K","124.60 - 211.24",
"EMN","Eastman Chemical Co","1.40%","60.75","+1.22","+2.05%","472.63 K","34.44 - 83.99",
"FCX","Freeport-McMoRan Inc","2.16%","9.03","+0.44","+5.06%","10.35 M","4.82 - 13.64",
"FMC","FMC Corp","2.07%","94.33","+2.35","+2.56%","484.99 K","56.77 - 108.77",
"IFF","Intl Flavors & Fragrances","2.43%","130.38","-0.94","-0.71%","392.29 K","92.14 - 152.95",
"IP","Intl Paper Co","2.19%","32.93","+0.76","+2.35%","1.78 M","26.38 - 47.64",
"LYB","LyondellBasell Industries N.V.","2.32%","54.55","+2.44","+4.68%","1.08 M","33.71 - 98.91",
"MOS","Mosaic Co","0.66%","11.30","+0.50","+4.58%","2.66 M","6.50 - 25.71",
"NEM","Newmont Corp","8.81%","64.63","+2.20","+3.52%","3.59 M","29.77 - 65.06",
"NUE","Nucor Corp","2.13%","41.05","+0.55","+1.36%","636.11 K","27.53 - 58.70",
"PPG","PPG Industries Inc","3.64%","89.76","+0.96","+1.08%","879.78 K","69.77 - 134.36",
"SEE","Sealed Air Corp","0.74%","28.71","+1.24","+4.51%","419.77 K","17.06 - 45.86",
"SHW","Sherwin-Williams Co","7.41%","531.84","+7.82","+1.49%","194.21 K","325.43 - 599.95",
"VMC","Vulcan Materials Co","2.30%","103.50","+3.19","+3.18%","519.63 K","65.56 - 152.49",
"MLM","Martin Marietta Materials","1.89%","181.93","+7.44","+4.26%","217.95 K","135.08 - 281.82",
"WRK","WestRock Co","1.11%","25.47","+0.77","+3.12%","2.32 M","21.50 - 44.39",
"ALB","Albemarle Corp","1.07%","60.77","+2.84","+4.90%","1.22 M","48.89 - 99.40",
"PKG","Packaging Corp of America","1.54%","94.91","+1.43","+1.53%","272.52 K","71.05 - 114.78",
"LIN","Linde plc","16.54%","185.55","+6.60","+3.69%","1.02 M","146.71 - 227.85",
"CE","Celanese Corp A","1.63%","80.60","+3.02","+3.89%","347.53 K","52.70 - 128.88",
"DOW","Dow Inc","4.11%","33.28","+1.32","+4.13%","2.61 M","21.95 - 56.25",
"CTVA","Corteva Inc.","3.25%","26.61","+1.60","+6.38%","2.17 M","20.38 - 32.78",
"DD","DuPont de Nemours Inc.","5.17%","44.91","+0.87","+1.98%","1.90 M","28.33 - 77.03",
"AMCR","Amcor plc","2.38%","8.65","+0.17","+2.00%","1.84 M","5.80 - 11.77",
