"Holdings and weightings as of 5:48 PM ET 05/06/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ATVI","Activision Blizzard Inc","4.88%","73.54","+0.67","+0.92%","4.74 M","41.84 - 74.80",
"CHTR","Charter Communications Inc A","4.37%","519.20","+15.24","+3.02%","392.99 K","345.67 - 546.54",
"CMCSA","Comcast Corp A","3.88%","35.81","+0.67","+1.91%","7.94 M","31.71 - 47.74",
"CTL","CenturyLink Inc","1.45%","9.72","-0.16","-1.62%","10.21 M","8.16 - 15.30",
"DISCA","Discovery, Inc A","0.49%","21.06","+0.21","+1.01%","3.44 M","17.12 - 33.66",
"DISCK","Discovery, Inc C","0.95%","19.31","+0.27","+1.42%","1.13 M","15.43 - 31.20",
"DISH","DISH Network Corp A","0.87%","23.68","+0.78","+3.41%","1.45 M","17.09 - 44.66",
"DIS","Walt Disney Co","3.99%","104.79","+3.91","+3.88%","10.50 M","79.07 - 153.41",
"EA","Electronic Arts","4.61%","116.41","+1.09","+0.95%","1.74 M","85.69 - 120.19",
"FB","Facebook Inc A","20.87%","211.33","+2.86","+1.37%","7.62 M","137.10 - 224.20",
"FOXA","Fox Corp A","1.31%","25.69","+0.88","+3.53%","5.09 M","19.81 - 39.74",
"FOX","Fox Corp B","0.60%","25.25","+0.64","+2.60%","1.08 M","19.13 - 38.84",
"GOOGL","Alphabet Inc A","11.83%","1374.01","+28.58","+2.12%","731.22 K","1008.87 - 1530.74",
"GOOG","Alphabet Inc C","11.82%","1376.06","+28.76","+2.13%","664.46 K","1013.54 - 1532.11",
"IPG","Interpublic Group Cos","0.94%","16.54","+0.32","+1.94%","2.49 M","11.63 - 25.20",
"NFLX","NetFlix Inc","4.64%","438.02","+3.76","+0.87%","3.75 M","252.28 - 449.52",
"NWSA","News Corp A","0.56%","9.53","-0.14","-1.45%","1.06 M","7.90 - 15.07",
"NWS","News Corp B","0.18%","9.83","-0.16","-1.60%","309.69 K","7.88 - 15.36",
"OMC","Omnicom Group","1.76%","54.53","+0.19","+0.35%","1.09 M","46.37 - 85.05",
"T","AT&T Inc","3.68%","29.10","+0.31","+1.06%","16.02 M","26.08 - 39.70",
"TTWO","Take-Two Interactive Software","2.16%","128.76","+1.03","+0.81%","634.86 K","98.86 - 135.70",
"TWTR","Twitter Inc","3.20%","28.50","+0.82","+2.94%","8.79 M","20.00 - 45.86",
"VZ","Verizon Communications Inc","4.02%","55.94","+0.30","+0.54%","6.83 M","48.84 - 62.22",
"TMUS","T-Mobile US Inc","4.92%","93.64","+7.05","+8.14%","6.45 M","63.50 - 101.35",
"VIAC","ViacomCBS  Inc B","1.20%","16.75","+1.87","+12.57%","18.20 M","10.10 - 53.71",
"LYV","Live Nation Entertainment Inc.","0.81%","39.49","+1.00","+2.59%","8.47 M","21.70 - 76.60",
