"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"APA","Apache Corp","0.75%","12.24","+0.63","+5.38%","11.71 M","3.80 - 33.77",
"COG","Cabot Oil & Gas A","1.38%","20.19","+0.59","+3.01%","2.59 M","13.06 - 27.42",
"COP","ConocoPhillips","4.89%","42.55","+2.06","+5.09%","5.09 M","20.84 - 67.13",
"CVX","Chevron Corp","23.66%","93.63","+3.58","+3.98%","4.67 M","51.60 - 127.00",
"DVN","Devon Energy Corp","0.77%","12.25","+0.76","+6.57%","4.87 M","4.70 - 31.89",
"EOG","EOG Resources","4.60%","48.37","+2.53","+5.52%","2.60 M","27.00 - 96.25",
"FTI","TechnipFMC plc","0.54%","7.57","+0.12","+1.61%","1.28 M","4.49 - 28.57",
"HAL","Halliburton Co","1.45%","10.01","+0.45","+4.67%","12.63 M","4.25 - 27.37",
"HES","Hess Corp","2.01%","47.46","+2.45","+5.44%","1.53 M","26.06 - 74.11",
"HP","Helmerich & Payne Inc","0.30%","16.69","+0.73","+4.57%","1.82 M","12.40 - 59.68",
"KMI","Kinder Morgan Inc","3.79%","15.09","+0.37","+2.48%","5.46 M","9.42 - 22.58",
"MPC","Marathon Petroleum Corp.","3.31%","30.83","+1.30","+4.39%","4.21 M","15.26 - 69.65",
"MRO","Marathon Oil Corp","0.77%","5.54","-0.06","-1.13%","24.87 M","3.02 - 16.02",
"NOV","National Oilwell Varco Inc","0.79%","12.35","+0.55","+4.62%","1.09 M","8.00 - 25.81",
"OKE","ONEOK Inc","2.04%","30.21","+1.56","+5.45%","2.54 M","12.16 - 78.48",
"OXY","Occidental Petroleum","2.06%","14.12","+0.72","+5.34%","22.07 M","9.00 - 60.73",
"PSX","Phillips 66","5.03%","73.02","+1.11","+1.54%","1.82 M","40.04 - 119.92",
"PXD","Pioneer Natural Resources","2.34%","89.06","+7.23","+8.84%","1.37 M","48.62 - 159.01",
"SLB","Schlumberger Ltd","3.78%","16.92","+1.10","+6.93%","8.01 M","11.87 - 41.40",
"VLO","Valero Energy Corp","4.31%","61.62","+0.71","+1.17%","2.20 M","31.00 - 101.99",
"WMB","The Williams Companies Inc","3.89%","19.25","+0.64","+3.41%","5.64 M","8.41 - 29.06",
"XOM","Exxon Mobil Corp","21.52%","44.67","+0.68","+1.53%","11.07 M","30.11 - 77.93",
"CXO","Concho Resources Inc","2.00%","58.19","+0.65","+1.13%","1.05 M","33.13 - 116.92",
"HFC","HollyFrontier Corporation","0.77%","28.34","-1.67","-5.56%","1.68 M","18.48 - 58.88",
"FANG","Diamondback Energy Inc","1.08%","40.69","+1.77","+4.55%","1.10 M","14.55 - 114.14",
"BKR","Baker Hughes Company","1.45%","13.87","+0.94","+7.27%","2.74 M","9.12 - 25.99",
"NBL","Noble Energy Inc","0.72%","9.18","+0.40","+4.56%","4.21 M","2.73 - 27.31",
