"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AAPL","Apple Inc.","20.11%","304.32","+3.69","+1.23%","16.81 M","170.27 - 327.85",
"ACN","Accenture plc A","1.83%","186.95","+6.57","+3.64%","961.10 K","137.15 - 216.39",
"ADBE","Adobe Inc.","2.81%","368.66","+6.14","+1.69%","1.43 M","255.13 - 386.75",
"ADI","Analog Devices Inc","0.62%","107.35","+2.10","+2.00%","407.39 K","79.08 - 127.30",
"ADP","Automatic Data Processing","1.00%","148.36","+3.80","+2.63%","673.52 K","103.11 - 182.32",
"ADSK","Autodesk Inc","0.64%","184.25","+3.02","+1.67%","641.87 K","125.38 - 211.58",
"ADS","Alliance Data Systems Corp","0.03%","46.57","+2.86","+6.54%","635.75 K","20.51 - 159.41",
"AKAM","Akamai Technologies Inc","0.26%","102.16","+2.99","+3.01%","892.91 K","73.19 - 108.25",
"AMAT","Applied Materials Inc","0.75%","51.58","+1.08","+2.14%","3.01 M","36.64 - 69.44",
"APH","Amphenol Corp A","0.41%","87.66","+1.58","+1.84%","449.06 K","63.05 - 110.24",
"CRM","Salesforce.com","2.33%","170.58","+6.91","+4.22%","3.62 M","115.29 - 195.72",
"CSCO","Cisco Systems Inc","2.80%","41.65","+0.50","+1.20%","8.49 M","32.40 - 58.26",
"CTSH","Cognizant Tech Solutions Corp","0.51%","58.97","+1.38","+2.40%","1.17 M","40.01 - 71.48",
"CTXS","Citrix Systems Inc","0.27%","150.98","+3.26","+2.21%","587.12 K","90.28 - 152.49",
"FFIV","F5 Networks Inc","0.14%","143.65","+1.85","+1.30%","255.00 K","79.78 - 153.99",
"FIS","Fidelity National Information","1.30%","131.52","-0.39","-0.30%","3.44 M","91.68 - 158.21",
"FISV","Fiserv Inc","0.96%","108.23","+2.74","+2.60%","1.94 M","73.50 - 125.05",
"FLIR","FLIR Systems Inc","0.10%","48.49","+3.08","+6.78%","6.00 M","23.85 - 59.44",
"GLW","Corning Inc","0.26%","21.06","+0.35","+1.67%","1.82 M","17.44 - 34.26",
"HPQ","HP Inc","0.35%","15.08","+0.42","+2.83%","4.89 M","12.54 - 23.93",
"IBM","Intl Business Machines Corp","1.75%","122.56","+1.02","+0.84%","2.07 M","90.56 - 158.75",
"INTC","Intel Corp","4.12%","59.84","+0.66","+1.12%","7.07 M","42.86 - 69.29",
"INTU","Intuit Inc","1.15%","283.49","+7.62","+2.76%","435.23 K","187.68 - 306.89",
"JNPR","Juniper Networks Inc","0.12%","23.03","+0.44","+1.95%","1.83 M","15.20 - 27.57",
"KLAC","KLA Corporation","0.41%","168.28","+4.47","+2.73%","742.93 K","101.34 - 184.50",
"LRCX","Lam Research Corp","0.57%","250.85","+6.29","+2.57%","875.84 K","171.04 - 344.32",
"MA","Mastercard Inc A","3.87%","280.37","+7.93","+2.91%","2.60 M","199.99 - 347.25",
"MCHP","Microchip Technology Inc","0.32%","86.41","+2.65","+3.16%","1.06 M","53.15 - 112.47",
