"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ADM","Archer-Daniels-Midland Co","1.25%","35.12","+0.72","+2.08%","1.34 M","28.92 - 47.20",
"BF.b","Brown-Forman Corp B","0.77%","65.23","+0.64","+0.99%","339.61 K","44.68 - 72.85",
"CAG","Conagra Brands, Inc","1.06%","33.55","+0.14","+0.42%","1.00 M","22.83 - 35.59",
"CL","Colgate-Palmolive Co","3.78%","69.45","+1.61","+2.37%","1.75 M","58.49 - 77.41",
"CLX","Clorox Co","1.63%","203.88","+4.09","+2.05%","840.34 K","144.12 - 214.26",
"COST","Costco Wholesale Corp","4.60%","307.89","-1.00","-0.33%","1.22 M","233.05 - 325.26",
"CPB","Campbell Soup Co","0.56%","50.78","+0.22","+0.43%","836.66 K","35.27 - 57.54",
"EL","Estee Lauder Cos. A","2.45%","172.83","+3.31","+1.95%","802.39 K","137.01 - 220.42",
"GIS","General Mills Inc","2.32%","59.40","+0.43","+0.73%","1.22 M","46.59 - 61.66",
"HRL","Hormel Foods Corp","0.84%","47.13","+0.64","+1.37%","643.06 K","37.00 - 51.53",
"HSY","Hershey Foods Corp","1.27%","132.40","+0.67","+0.51%","403.79 K","109.88 - 162.20",
"KMB","Kimberly-Clark","3.01%","137.78","+3.01","+2.23%","816.63 K","110.66 - 149.23",
"K","Kellogg Co","1.04%","63.45","-0.64","-1.00%","686.18 K","51.34 - 71.05",
"KO","Coca-Cola Co","9.91%","45.04","+0.29","+0.65%","7.61 M","36.27 - 60.13",
"KR","Kroger Co","1.71%","33.12","+0.34","+1.02%","3.24 M","20.70 - 36.84",
"MDLZ","Mondelez International Inc","4.70%","50.63","+0.49","+0.97%","1.92 M","41.19 - 59.96",
"MKC","McCormick & Co","1.29%","161.74","+1.52","+0.95%","272.11 K","112.23 - 174.58",
"MNST","Monster Beverage Corp New","1.52%","63.04","+1.74","+2.83%","822.16 K","50.06 - 70.52",
"MO","Altria Group Inc","4.34%","35.71","-0.02","-0.06%","7.90 M","30.95 - 53.44",
"PG","Procter & Gamble","16.19%","113.07","-0.04","-0.03%","4.08 M","94.34 - 128.09",
"PM","Philip Morris International","4.38%","71.04","-0.46","-0.64%","2.71 M","56.01 - 90.17",
"SJM","J.M. Smucker Co","0.85%","115.55","+1.40","+1.23%","396.66 K","91.88 - 128.43",
"STZ","Constellation Brands Inc A","1.80%","164.92","-0.56","-0.34%","490.61 K","104.28 - 212.00",
"SYY","Sysco Corp","1.72%","52.28","+0.40","+0.77%","2.14 M","26.00 - 85.98",
"TAP","Molson Coors Beverage Co B","0.46%","37.83","+0.15","+0.40%","835.44 K","34.01 - 61.94",
"TSN","Tyson Foods Inc A","1.05%","57.12","+2.34","+4.26%","2.59 M","42.57 - 94.24",
"WMT","Walmart Inc.","10.04%","123.09","+0.33","+0.27%","2.98 M","98.85 - 133.38",
"WBA","Walgreens Boots Alliance Inc","2.01%","41.04","-0.16","-0.39%","3.19 M","39.41 - 64.50",
"KHC","The Kraft Heinz Company","1.19%","29.32","-0.09","-0.29%","2.09 M","19.99 - 33.43",
"CHD","Church & Dwight Co","1.15%","73.26","+1.41","+1.96%","657.25 K","47.98 - 80.99",
"COTY","Coty Inc.","0.09%","5.02","+0.13","+2.56%","3.77 M","3.02 - 14.14",
"PEP","PepsiCo Inc","10.47%","131.36","+0.58","+0.44%","2.03 M","101.42 - 147.20",
"LW","Lamb Weston Holdings Inc","0.56%","56.79","-1.99","-3.38%","814.80 K","39.06 - 96.32",
