"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","24.69%","2361.91","+10.65","+0.45%","1.98 M","1626.03 - 2475.00",
"AZO","AutoZone Inc","1.26%","1030.79","-1.57","-0.15%","77.98 K","684.91 - 1274.41",
"BBY","Best Buy Co Inc","0.87%","76.72","+2.73","+3.68%","757.84 K","48.11 - 91.99",
"BWA","Borgwarner Inc","0.30%","28.44","+0.37","+1.32%","2.62 M","17.00 - 46.60",
"CCL","Carnival Corp","0.31%","13.48","+0.66","+5.11%","26.21 M","7.80 - 54.44",
"CMG","Chipotle Mexican Grill Inc.","1.14%","896.65","+29.61","+3.42%","305.79 K","415.00 - 940.28",
"DG","Dollar General Corp","2.27%","175.36","+1.46","+0.84%","459.08 K","116.15 - 183.95",
"DHI","Horton D.R. Inc","0.81%","47.34","+0.08","+0.17%","1.93 M","25.51 - 62.54",
"DLTR","Dollar Tree Inc","0.92%","77.92","+2.26","+2.98%","1.20 M","60.20 - 119.71",
"DRI","Darden Restaurants Inc","0.46%","71.15","+2.94","+4.31%","1.16 M","26.15 - 128.41",
"EXPE","Expedia Group, Inc.","0.46%","66.09","+1.71","+2.66%","1.27 M","40.76 - 144.00",
"F","Ford Motor Co","0.97%","4.90","+0.03","+0.51%","38.93 M","3.96 - 10.56",
"GM","General Motors Company","1.41%","22.66","+0.77","+3.49%","10.96 M","14.33 - 41.90",
"GPC","Genuine Parts Co","0.54%","75.23","+2.62","+3.61%","470.97 K","49.68 - 108.58",
"GPS","Gap Inc","0.08%","7.53","+0.36","+4.95%","5.29 M","5.26 - 25.63",
"GRMN","Garmin Ltd","0.58%","79.32","+0.59","+0.75%","254.71 K","61.04 - 105.58",
"HAS","Hasbro Inc","0.43%","68.51","+2.62","+3.98%","393.14 K","41.33 - 126.87",
"HD","Home Depot Inc","12.55%","231.32","+7.40","+3.30%","2.21 M","140.63 - 247.36",
"HOG","Harley-Davidson Inc","0.16%","20.89","+1.33","+6.80%","2.41 M","14.31 - 40.89",
"HRB","H&R Block Inc","0.16%","15.78","+0.24","+1.54%","887.10 K","11.29 - 29.62",
"JWN","Nordstrom Inc","0.09%","17.66","+0.52","+3.03%","2.15 M","12.27 - 43.37",
"KMX","Carmax Inc","0.62%","73.39","+0.42","+0.58%","649.01 K","37.59 - 103.18",
"KSS","Kohl's Corp","0.13%","17.86","+1.21","+7.27%","6.66 M","10.89 - 69.45",
"LB","L Brands Inc","0.13%","11.31","+0.32","+2.91%","3.06 M","8.00 - 28.02",
"LEG","Leggett & Platt","0.19%","27.89","+0.13","+0.47%","1.36 M","22.03 - 55.42",
