"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"APD","Air Products & Chemicals Inc","8.03%","238.25","+0.21","+0.09%","285.04 K","167.43 - 257.01",
"AVY","Avery Dennison Corp","1.50%","116.34","-0.01","-0.01%","121.73 K","76.96 - 141.09",
"BLL","Ball Corp","3.54%","70.04","-0.14","-0.20%","1.13 M","51.26 - 82.82",
"CF","CF Industries Holdings","1.03%","30.26","-0.55","-1.79%","742.79 K","19.73 - 55.15",
"ECL","Ecolab Inc","7.81%","205.59","-0.65","-0.31%","1.05 M","124.60 - 231.36",
"EMN","Eastman Chemical Co","1.50%","71.10","-0.46","-0.64%","502.06 K","34.44 - 83.99",
"FCX","Freeport-McMoRan Inc","2.41%","10.83","+0.05","+0.46%","12.64 M","4.82 - 13.64",
"FMC","FMC Corp","2.01%","101.16","+0.74","+0.74%","229.81 K","56.77 - 108.77",
"IFF","Intl Flavors & Fragrances","2.13%","129.69","+0.64","+0.50%","210.27 K","92.14 - 151.02",
"IP","Intl Paper Co","2.16%","35.56","-0.15","-0.42%","1.42 M","26.38 - 47.64",
"LYB","LyondellBasell Industries N.V.","2.74%","67.21","-1.85","-2.68%","1.24 M","33.71 - 98.91",
"MOS","Mosaic Co","0.74%","13.38","-0.26","-1.91%","1.33 M","6.50 - 25.71",
"NEM","Newmont Corp","7.02%","55.61","-0.34","-0.61%","4.71 M","33.00 - 69.13",
"NUE","Nucor Corp","2.09%","44.22","-0.37","-0.83%","1.25 M","27.53 - 58.70",
"PPG","PPG Industries Inc","3.82%","105.65","+0.89","+0.85%","529.16 K","69.77 - 134.36",
"SEE","Sealed Air Corp","0.76%","31.68","-0.19","-0.60%","376.34 K","17.06 - 45.86",
"SHW","Sherwin-Williams Co","7.25%","583.60","+7.24","+1.26%","233.03 K","325.43 - 603.36",
"VMC","Vulcan Materials Co","2.52%","118.62","-4.53","-3.68%","606.71 K","65.56 - 152.49",
"MLM","Martin Marietta Materials","2.07%","209.72","-4.42","-2.06%","302.88 K","135.08 - 281.82",
"WRK","WestRock Co","1.15%","28.83","-0.11","-0.36%","925.38 K","21.50 - 44.39",
"ALB","Albemarle Corp","1.30%","79.64","+0.41","+0.52%","461.68 K","48.89 - 99.40",
"PKG","Packaging Corp of America","1.47%","100.05","-0.88","-0.87%","243.85 K","71.05 - 114.78",
"LIN","Linde plc","17.12%","208.12","-0.17","-0.08%","994.05 K","146.71 - 227.85",
"CE","Celanese Corp A","1.68%","89.93","+0.03","+0.03%","370.90 K","52.70 - 128.88",
"DOW","Dow Inc","4.84%","41.43","-0.82","-1.94%","1.90 M","21.95 - 56.25",
"CTVA","Corteva Inc.","3.21%","27.59","-0.23","-0.83%","2.33 M","20.38 - 32.78",
"DD","DuPont de Nemours Inc.","5.54%","53.11","-0.02","-0.04%","1.74 M","28.33 - 77.03",
"AMCR","Amcor plc","2.57%","10.31","+0.05","+0.44%","4.86 M","5.80 - 11.77",
