"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ATVI","Activision Blizzard Inc","4.41%","75.78","+2.78","+3.81%","10.36 M","44.59 - 75.97",
"CHTR","Charter Communications Inc A","4.17%","535.21","+2.76","+0.52%","547.04 K","345.67 - 549.00",
"CMCSA","Comcast Corp A","3.96%","39.45","-0.31","-0.77%","8.59 M","31.71 - 47.74",
"CTL","CenturyLink Inc","1.38%","10.24","-0.22","-2.06%","4.81 M","8.16 - 15.30",
"DISCA","Discovery, Inc A","0.47%","22.31","+0.05","+0.22%","2.49 M","17.12 - 33.66",
"DISCK","Discovery, Inc C","0.90%","20.17","+0.14","+0.70%","1.32 M","15.43 - 31.20",
"DISH","DISH Network Corp A","1.21%","35.49","+0.25","+0.71%","2.31 M","17.09 - 44.66",
"DIS","Walt Disney Co","4.23%","118.00","-0.44","-0.37%","6.02 M","79.07 - 153.41",
"EA","Electronic Arts","4.54%","128.33","+2.60","+2.07%","1.27 M","85.69 - 127.87",
"FB","Facebook Inc A","21.30%","236.25","+0.60","+0.25%","16.32 M","137.10 - 241.21",
"FOXA","Fox Corp A","1.35%","28.18","-0.13","-0.46%","2.77 M","19.81 - 39.74",
"FOX","Fox Corp B","0.61%","27.93","-0.09","-0.32%","955.53 K","19.13 - 38.84",
"GOOGL","Alphabet Inc A","11.48%","1457.13","+10.66","+0.74%","952.83 K","1008.87 - 1530.74",
"GOOG","Alphabet Inc C","11.42%","1454.80","+12.08","+0.84%","1.09 M","1013.54 - 1532.11",
"IPG","Interpublic Group Cos","0.93%","17.59","-0.26","-1.43%","2.89 M","11.63 - 25.20",
"NFLX","NetFlix Inc","4.21%","448.71","+12.58","+2.88%","4.80 M","252.28 - 458.97",
"NWSA","News Corp A","0.62%","12.24","+0.30","+2.51%","1.83 M","7.90 - 15.07",
"NWS","News Corp B","0.20%","12.36","+0.24","+1.98%","281.85 K","7.88 - 15.36",
"OMC","Omnicom Group","1.65%","55.60","-0.76","-1.35%","988.23 K","46.37 - 85.05",
"T","AT&T Inc","3.55%","30.33","-0.46","-1.48%","19.55 M","26.08 - 39.70",
"TTWO","Take-Two Interactive Software","2.07%","139.03","+3.36","+2.48%","1.02 M","100.00 - 149.28",
"TWTR","Twitter Inc","3.62%","34.38","-0.25","-0.72%","8.80 M","20.00 - 45.86",
"VZ","Verizon Communications Inc","3.72%","56.71","-0.21","-0.37%","6.87 M","48.84 - 62.22",
"TMUS","T-Mobile US Inc","5.27%","102.82","-0.07","-0.07%","2.25 M","63.50 - 106.72",
"VIAC","ViacomCBS  Inc B","1.76%","23.53","-0.67","-2.75%","11.13 M","10.10 - 53.71",
"LYV","Live Nation Entertainment Inc.","0.93%","48.27","-0.93","-1.89%","970.64 K","21.70 - 76.60",
