"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ALLE","Allegion plc","0.46%","104.76","+0.23","+0.22%","243.80 K","77.37 - 139.24",
"AME","AMETEK Inc","0.98%","90.29","-0.45","-0.50%","312.03 K","54.82 - 102.31",
"BA","Boeing Co","5.02%","194.04","-3.73","-1.88%","45.22 M","89.00 - 391.00",
"CAT","Caterpillar Inc","3.41%","128.93","-1.18","-0.91%","2.09 M","87.50 - 150.55",
"CHRW","CH Robinson Worldwide Inc","0.50%","78.94","+0.85","+1.09%","722.89 K","56.94 - 91.23",
"CMI","Cummins Inc","1.25%","171.53","+0.18","+0.11%","594.82 K","101.03 - 186.73",
"CTAS","Cintas Corp","1.09%","273.83","+0.20","+0.07%","202.40 K","154.33 - 304.81",
"DAL","Delta Air Lines","0.86%","30.96","-0.34","-1.09%","29.57 M","17.51 - 63.44",
"DE","Deere & Co","2.37%","156.27","-2.03","-1.28%","668.51 K","106.14 - 181.99",
"DOV","Dover Corp","0.68%","98.06","-0.37","-0.38%","461.57 K","62.95 - 120.26",
"EFX","Equifax Inc","0.98%","171.36","+1.62","+0.95%","360.18 K","103.01 - 180.07",
"EMR","Emerson Electric Co","1.84%","63.10","-0.36","-0.57%","1.16 M","37.75 - 78.38",
"ETN","Eaton Corp plc","1.75%","89.12","+0.18","+0.20%","868.88 K","56.42 - 105.78",
"EXPD","Expeditors Intl of WA Inc","0.60%","73.90","-0.08","-0.11%","520.17 K","52.55 - 81.64",
"FAST","Fastenal Co","1.14%","42.18","+0.37","+0.87%","1.93 M","26.72 - 43.20",
"FDX","FedEx Corp","1.54%","135.88","+0.34","+0.25%","787.55 K","88.69 - 178.50",
"FLS","Flowserve Corp","0.18%","28.42","-1.27","-4.28%","472.30 K","18.98 - 53.98",
"GD","General Dynamics","1.74%","157.78","+1.79","+1.15%","860.94 K","100.55 - 193.76",
"GE","General Electric Co","3.10%","7.26","-0.21","-2.81%","52.68 M","5.48 - 13.26",
"GWW","W.W. Grainger Inc","0.64%","312.46","+1.80","+0.58%","119.58 K","200.61 - 346.60",
"HON","Honeywell Intl Inc","5.06%","149.08","-0.03","-0.02%","1.85 M","101.08 - 184.06",
"ITW","Illinois Tool Works Inc","2.35%","172.47","+3.07","+1.81%","887.73 K","115.94 - 190.85",
"KSU","Kansas City Southern Inc","0.70%","148.66","+0.06","+0.04%","458.57 K","92.86 - 178.59",
"LMT","Lockheed Martin","4.51%","383.07","+0.30","+0.08%","859.40 K","266.11 - 442.53",
"LUV","Southwest Airlines Co","0.91%","36.63","+0.06","+0.16%","14.69 M","22.47 - 58.83",
"MAS","Masco Corp","0.65%","48.61","+0.28","+0.58%","1.81 M","27.04 - 50.06",
"MMM","3M Co","4.36%","159.80","+0.13","+0.08%","952.12 K","114.04 - 187.72",
"NLSN","Nielsen Holdings plc","0.26%","15.10","-0.09","-0.59%","2.01 M","11.62 - 24.69",
"NOC","Northrop Grumman Corp","2.42%","323.35","-1.39","-0.43%","353.04 K","263.31 - 385.01",
"NSC","Norfolk Southern Corp","2.21%","179.08","+0.35","+0.20%","551.32 K","112.62 - 219.88",
"PCAR","PACCAR Inc","1.22%","74.40","-0.11","-0.15%","554.58 K","49.11 - 83.41",
"PH","Parker-Hannifin Corp","1.16%","185.85","-3.72","-1.96%","511.98 K","93.00 - 215.94",
"PNR","Pentair PLC","0.31%","38.43","-0.38","-0.98%","673.49 K","22.01 - 47.43",
"PWR","Quanta Services Inc","0.26%","39.26","+0.50","+1.29%","1.06 M","23.77 - 44.09",
"RHI","Robert Half Intl Inc","0.29%","52.90","+0.53","+1.01%","744.49 K","32.38 - 63.97",
"ROK","Rockwell Automation Inc","1.17%","213.89","+0.15","+0.07%","370.77 K","115.38 - 230.71",
"ROP","Roper Technologies, Inc","1.97%","403.38","+4.73","+1.19%","226.05 K","240.00 - 410.41",
"RSG","Republic Services Inc","0.83%","83.33","+0.56","+0.68%","542.49 K","65.37 - 100.91",
"SNA","Snap On Inc","0.36%","136.68","-0.58","-0.42%","239.68 K","90.72 - 172.61",
"SWK","Stanley Black & Decker","1.00%","136.50","-1.82","-1.32%","429.49 K","70.00 - 173.67",
"TXT","Textron Inc","0.38%","34.89","-0.09","-0.26%","514.46 K","20.26 - 54.24",
"UNP","Union Pacific Corp","5.63%","172.50","+1.53","+0.89%","1.85 M","105.08 - 188.96",
"UPS","United Parcel Service Inc B","3.52%","107.48","+1.65","+1.55%","3.06 M","82.00 - 125.31",
"WM","Waste Management Inc","1.96%","106.31","+0.61","+0.58%","736.98 K","85.34 - 126.79",
"XYL","Xylem Inc","0.57%","67.08","+0.18","+0.27%","522.38 K","54.62 - 89.34",
"URI","United Rentals Inc","0.56%","156.32","-1.97","-1.24%","857.66 K","58.85 - 170.04",
"AAL","American Airlines Group Inc.","0.32%","16.97","-0.06","-0.35%","58.53 M","8.25 - 34.99",
"JBHT","J.B. Hunt Transport Services","0.47%","120.49","+3.80","+3.26%","443.81 K","75.29 - 122.39",
"VRSK","Verisk Analytics Inc","1.29%","167.33","+0.91","+0.55%","179.27 K","116.61 - 173.77",
"CSX","CSX Corporation","2.60%","70.49","+0.13","+0.18%","1.66 M","46.81 - 80.62",
"ALK","Alaska Air Group Inc","0.22%","37.69","-0.52","-1.36%","1.82 M","20.02 - 72.22",
"TDG","TransDigm Group","1.10%","460.16","-5.04","-1.08%","167.37 K","200.06 - 673.51",
"FBHS","Fortune Brands Home & Security Inc","0.42%","63.16","-0.41","-0.64%","659.90 K","33.90 - 73.28",
"FTV","Fortive Corp","0.95%","68.23","+0.42","+0.62%","1.57 M","37.31 - 83.18",
"JCI","Johnson Controls International plc","1.30%","35.43","0.00","0.00%","2.29 M","22.78 - 44.82",
"AOS","A.O. Smith Corp","0.31%","47.89","+0.01","+0.02%","401.03 K","33.81 - 52.70",
"HII","Huntington Ingalls Industries Inc.","0.36%","184.98","-0.60","-0.32%","144.32 K","147.14 - 279.71",
"CPRT","Copart Inc","0.86%","87.39","-0.90","-1.02%","470.77 K","55.69 - 104.88",
"UAL","United Airlines Holding, Inc","0.48%","39.24","-0.97","-2.41%","49.18 M","17.80 - 96.03",
"ROL","Rollins Inc","0.28%","42.49","+0.12","+0.28%","288.35 K","30.72 - 46.95",
