"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AIV","Apartment Investment & Mgmt","0.80%","39.09","-1.42","-3.51%","477.18 K","24.53 - 55.68",
"AMT","American Tower Corp A","15.48%","265.34","+0.56","+0.21%","801.55 K","174.32 - 269.25",
"AVB","AvalonBay Communities Inc","3.09%","162.76","-4.57","-2.73%","376.16 K","118.17 - 229.40",
"BXP","Boston Properties Inc","1.88%","97.73","-1.44","-1.45%","720.92 K","71.57 - 147.83",
"CCI","Crown Castle Intl Corp","9.31%","171.06","+1.47","+0.87%","1.39 M","114.18 - 176.85",
"EQIX","Equinix Inc","8.12%","701.29","+4.09","+0.59%","235.29 K","477.87 - 718.33",
"EQR","Equity Residential","2.98%","62.70","-1.99","-3.08%","823.33 K","49.62 - 89.55",
"ESS","Essex Property Trust","2.19%","243.69","-7.90","-3.14%","218.71 K","175.81 - 334.17",
"HST","Host Hotels & Resorts Inc","1.21%","12.48","-0.33","-2.58%","10.11 M","7.86 - 18.93",
"IRM","Iron Mountain Inc","1.07%","28.00","-0.17","-0.60%","1.00 M","21.00 - 34.49",
"KIM","Kimco Realty Corp","0.79%","13.45","-0.69","-4.85%","3.19 M","7.45 - 21.86",
"O","Realty Income Corp","2.86%","63.46","+0.30","+0.48%","2.05 M","38.00 - 84.92",
"PLD","ProLogis Inc","9.44%","97.02","+0.12","+0.12%","1.59 M","59.82 - 99.79",
"PSA","Public Storage","3.94%","198.34","-0.52","-0.26%","388.51 K","155.37 - 266.76",
"SLG","SL Green Realty Corp","0.58%","52.25","-1.52","-2.83%","895.16 K","35.16 - 96.39",
"SPG","Simon Property Group A","3.06%","72.28","-3.24","-4.28%","5.98 M","42.25 - 168.52",
"VNO","Vornado Realty Trust","0.87%","40.40","-1.01","-2.44%","743.28 K","27.64 - 68.68",
"VTR","Ventas Inc","2.02%","39.93","-1.09","-2.66%","1.14 M","13.35 - 75.40",
"WY","Weyerhaeuser Co","2.27%","22.57","-0.46","-2.00%","2.64 M","13.10 - 31.58",
"EXR","Extra Space Storage Inc","1.67%","97.29","-0.33","-0.34%","261.97 K","72.70 - 124.46",
"FRT","Federal Realty Invt Trust","0.86%","89.62","-3.20","-3.45%","346.48 K","64.11 - 141.35",
"UDR","UDR Inc","1.55%","38.69","-1.41","-3.52%","786.32 K","29.20 - 51.25",
"DLR","Digital Realty Trust","4.95%","145.89","+3.38","+2.37%","1.82 M","105.00 - 158.36",
"MAA","Mid-America Apt Communties","1.82%","118.91","-2.18","-1.80%","357.01 K","82.00 - 148.88",
"ARE","Alexandria Real Estate Eqty","2.74%","170.94","+1.76","+1.04%","541.73 K","109.22 - 175.74",
"DRE","Duke Realty Corp","1.79%","36.86","-0.05","-0.14%","1.08 M","25.19 - 38.88",
"SBAC","SBA Communications Corp","4.49%","298.69","-3.35","-1.11%","453.95 K","205.20 - 323.03",
"WELL","Welltower Inc","3.09%","56.10","-1.54","-2.67%","1.25 M","24.27 - 93.17",
"CBRE","CBRE Group Inc.","2.14%","47.92","-0.45","-0.93%","1.35 M","29.17 - 64.75",
"REG","Regency Centers Corp","1.09%","47.07","-2.00","-4.08%","620.71 K","31.80 - 70.26",
"PEAK","Healthpeak Properties Inc.","1.87%","28.04","-0.51","-1.79%","1.97 M","18.63 - 37.93",
