"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"AMZN","Amazon.com Inc","24.03%","2643.25","+27.98","+1.07%","2.18 M","1626.03 - 2722.35",
"AZO","AutoZone Inc","1.22%","1150.21","+10.51","+0.92%","144.81 K","684.91 - 1274.41",
"BBY","Best Buy Co Inc","0.85%","83.14","-0.33","-0.40%","1.47 M","48.11 - 91.99",
"BWA","Borgwarner Inc","0.31%","33.68","+0.08","+0.24%","1.93 M","17.00 - 46.60",
"CCL","Carnival Corp","0.43%","19.39","-1.03","-5.04%","34.50 M","7.80 - 53.34",
"CMG","Chipotle Mexican Grill Inc.","1.19%","1032.65","+0.85","+0.08%","133.74 K","415.00 - 1087.00",
"DG","Dollar General Corp","2.19%","190.62","-0.26","-0.14%","1.05 M","125.00 - 194.84",
"DHI","Horton D.R. Inc","0.87%","58.64","+0.63","+1.09%","3.24 M","25.51 - 62.54",
"DLTR","Dollar Tree Inc","0.97%","89.55","-1.59","-1.74%","1.11 M","60.20 - 119.71",
"DRI","Darden Restaurants Inc","0.45%","75.02","-1.69","-2.20%","1.54 M","26.15 - 128.41",
"EXPE","Expedia Group, Inc.","0.54%","85.66","+0.36","+0.42%","2.13 M","40.76 - 144.00",
"F","Ford Motor Co","1.15%","6.38","-0.18","-2.67%","50.21 M","3.96 - 10.56",
"GM","General Motors Company","1.57%","27.43","-0.36","-1.28%","6.88 M","14.33 - 41.90",
"GPC","Genuine Parts Co","0.58%","88.64","+0.06","+0.06%","309.64 K","49.68 - 108.58",
"GPS","Gap Inc","0.11%","10.90","-0.48","-4.22%","8.62 M","5.26 - 19.82",
"GRMN","Garmin Ltd","0.62%","95.98","+0.91","+0.96%","495.94 K","61.04 - 105.58",
"HAS","Hasbro Inc","0.44%","76.92","-0.19","-0.25%","322.53 K","41.33 - 126.87",
"HD","Home Depot Inc","12.26%","252.13","+2.18","+0.87%","2.78 M","140.63 - 259.29",
"HOG","Harley-Davidson Inc","0.18%","25.18","-0.24","-0.94%","2.04 M","14.31 - 40.89",
"HRB","H&R Block Inc","0.16%","16.61","-1.43","-7.90%","4.90 M","11.29 - 29.62",
"JWN","Nordstrom Inc","0.09%","18.64","-0.86","-4.41%","6.33 M","12.27 - 43.37",
"KMX","Carmax Inc","0.71%","97.04","+0.68","+0.71%","825.01 K","37.59 - 103.18",
"KSS","Kohl's Corp","0.17%","23.94","-0.88","-3.55%","5.50 M","10.89 - 59.28",
"LB","L Brands Inc","0.17%","15.44","-0.70","-4.34%","3.37 M","8.00 - 28.02",
"LEG","Leggett & Platt","0.21%","34.32","-0.89","-2.53%","336.04 K","22.03 - 55.42",
"LEN","Lennar Corp A","0.80%","63.72","-0.22","-0.34%","2.44 M","25.42 - 71.38",
